iter	Passed	Remaining
0	0	850
1	1	763
2	2	712
3	2	680
4	3	728
5	4	721
6	4	685
7	5	661
8	5	646
9	6	630
10	6	612
11	7	605
12	7	601
13	8	598
14	9	597
15	9	603
16	10	619
17	11	623
18	12	620
19	12	614
20	13	609
21	13	616
22	14	619
23	15	623
24	16	627
25	16	623
26	17	625
27	17	621
28	18	625
29	19	620
30	19	616
31	20	614
32	20	611
33	21	616
34	22	615
35	22	612
36	23	607
37	23	603
38	24	601
39	24	598
40	25	594
41	25	591
42	26	592
43	27	591
44	27	593
45	28	595
46	29	598
47	30	596
48	30	595
49	31	593
50	31	592
51	32	593
52	33	593
53	34	596
54	34	596
55	35	593
56	35	591
57	36	588
58	37	594
59	37	591
60	38	590
61	38	589
62	39	588
63	40	590
64	41	590
65	41	591
66	42	590
67	43	589
68	43	586
69	44	585
70	44	585
71	45	584
72	46	588
73	46	586
74	47	584
75	47	583
76	48	581
77	48	578
78	49	576
79	49	573
80	50	575
81	51	576
82	52	575
83	52	574
84	53	576
85	54	577
86	54	576
87	55	576
88	56	577
89	57	577
90	57	576
91	58	577
92	59	576
93	59	574
94	60	572
95	60	571
96	61	569
97	61	567
98	62	566
99	62	565
100	63	565
101	64	568
102	65	567
103	65	567
104	66	565
105	66	562
106	67	560
107	67	559
108	68	557
109	68	555
110	69	555
111	69	554
112	70	555
113	71	556
114	72	556
115	72	556
116	73	553
117	73	552
118	74	552
119	75	551
120	75	551
121	76	551
122	77	552
123	77	550
124	78	549
125	79	548
126	79	545
127	79	544
128	80	543
129	81	543
130	81	543
131	83	546
132	83	545
133	84	547
134	85	546
135	85	545
136	86	544
137	86	542
138	87	542
139	88	542
140	89	543
141	89	540
142	90	539
143	90	537
144	91	536
145	91	535
146	91	533
147	92	532
148	92	530
149	93	529
150	94	529
151	94	528
152	95	528
153	96	527
154	96	525
155	97	525
156	97	524
157	98	523
158	98	522
159	99	520
160	99	518
161	100	518
162	100	517
163	101	517
164	102	516
165	102	516
166	103	515
167	103	515
168	104	514
169	105	513
170	105	513
171	106	512
172	107	512
173	108	513
174	108	512
175	109	511
176	109	510
177	110	509
178	110	508
179	111	507
180	112	507
181	112	506
182	113	506
183	114	506
184	114	506
185	115	505
186	116	504
187	116	503
188	117	502
189	117	501
190	118	501
191	118	500
192	119	500
193	120	501
194	121	500
195	121	499
196	122	498
197	122	497
198	123	496
199	123	495
200	124	494
201	125	495
202	126	495
203	126	494
204	127	495
205	128	495
206	129	494
207	129	493
208	130	493
209	131	492
210	131	492
211	132	492
212	133	491
213	133	491
214	134	490
215	134	489
216	135	487
217	135	486
218	136	486
219	136	485
220	137	485
221	138	484
222	138	483
223	139	482
224	139	481
225	140	480
226	140	479
227	141	478
228	141	477
229	142	476
230	143	476
231	143	475
232	144	475
233	145	475
234	145	474
235	146	474
236	147	473
237	147	472
238	148	471
239	148	471
240	149	471
241	150	472
242	151	471
243	151	470
244	152	469
245	152	468
246	153	467
247	153	466
248	154	465
249	154	464
250	155	464
251	156	464
252	156	463
253	157	463
254	158	462
255	158	462
256	159	461
257	160	461
258	161	460
259	161	459
260	162	459
261	162	458
262	163	458
263	164	457
264	164	456
265	165	455
266	165	455
267	166	453
268	166	452
269	167	452
270	168	452
271	168	452
272	169	451
273	169	450
274	170	449
275	170	448
276	171	447
277	171	445
278	172	445
279	172	443
280	173	443
281	173	442
282	175	443
283	175	443
284	177	444
285	177	444
286	178	443
287	179	443
288	180	442
289	181	443
290	181	442
291	182	441
292	182	440
293	183	439
294	183	439
295	184	438
296	184	437
297	185	437
298	186	436
299	187	436
300	188	436
301	188	436
302	189	436
303	190	435
304	190	434
305	191	434
306	192	433
307	192	433
308	193	433
309	194	432
310	195	432
311	195	431
312	196	430
313	196	429
314	197	428
315	197	428
316	198	428
317	199	427
318	200	427
319	201	427
320	201	427
321	202	426
322	203	425
323	203	425
324	204	424
325	205	424
326	206	424
327	206	423
328	207	422
329	207	422
330	208	421
331	208	420
332	209	419
333	210	419
334	210	418
335	211	417
336	212	417
337	212	416
338	213	415
339	213	414
340	214	413
341	214	412
342	215	412
343	215	411
344	216	410
345	216	410
346	217	409
347	218	409
348	219	409
349	220	408
350	220	407
351	221	407
352	221	406
353	222	405
354	223	405
355	223	405
356	224	404
357	225	404
358	226	403
359	226	402
360	227	402
361	227	401
362	228	400
363	229	400
364	230	401
365	231	400
366	232	400
367	232	399
368	233	398
369	233	398
370	234	397
371	234	396
372	235	396
373	236	396
374	237	395
375	237	394
376	238	393
377	238	393
378	239	392
379	239	391
380	240	390
381	240	389
382	241	389
383	242	388
384	243	388
385	243	387
386	244	386
387	244	385
388	245	384
389	245	383
390	245	383
391	246	382
392	246	381
393	247	380
394	248	380
395	249	380
396	250	380
397	251	379
398	251	379
399	252	378
400	252	377
401	253	377
402	254	376
403	254	376
404	255	375
405	256	375
